datetime,equity,drawdown,high_water
2018-01-20 00:00:00,1.0,0.0,1.0
2018-01-20 00:15:00,1.0,0.0,1.0
2018-01-20 00:30:00,1.0,0.0,1.0
2018-01-20 00:45:00,1.0,0.0,1.0
2018-01-20 01:00:00,1.0,0.0,1.0
2018-01-20 01:15:00,1.0,0.0,1.0
2018-01-20 01:30:00,1.0,0.0,1.0
2018-01-20 01:45:00,1.0,0.0,1.0
2018-01-20 02:00:00,1.0,0.0,1.0
2018-01-20 02:15:00,1.0,0.0,1.0
2018-01-20 02:30:00,1.0,0.0,1.0
2018-01-20 02:45:00,1.0,0.0,1.0
2018-01-20 03:00:00,1.0,0.0,1.0
2018-01-20 03:15:00,1.0,0.0,1.0
2018-01-20 03:30:00,1.0,0.0,1.0
2018-01-20 03:45:00,1.0,0.0,1.0
2018-01-20 04:00:00,1.0,0.0,1.0
2018-01-20 04:15:00,1.0,0.0,1.0
2018-01-20 04:30:00,1.0,0.0,1.0
2018-01-20 04:45:00,1.0,0.0,1.0
2018-01-20 05:00:00,1.0,0.0,1.0
2018-01-20 05:15:00,1.0,0.0,1.0
2018-01-20 05:30:00,1.0,0.0,1.0
2018-01-20 05:45:00,1.0,0.0,1.0
2018-01-20 06:00:00,1.0,0.0,1.0
2018-01-20 06:15:00,1.0,0.0,1.0
2018-01-20 06:30:00,1.0,0.0,1.0
2018-01-20 06:45:00,1.0,0.0,1.0
2018-01-20 07:00:00,1.0,0.0,1.0
2018-01-20 07:15:00,1.0,0.0,1.0
2018-01-20 07:30:00,1.0,0.0,1.0
2018-01-20 07:45:00,1.0,0.0,1.0
2018-01-20 08:00:00,1.0,0.0,1.0
2018-01-20 08:15:00,1.0,0.0,1.0
2018-01-20 08:30:00,1.0,0.0,1.0
2018-01-20 08:45:00,1.0,0.0,1.0
2018-01-20 09:00:00,1.0,0.0,1.0
2018-01-20 09:15:00,1.0,0.0,1.0
2018-01-20 09:30:00,1.0,0.0,1.0
2018-01-20 09:45:00,1.0,0.0,1.0
2018-01-20 10:00:00,1.0,0.0,1.0
2018-01-20 10:15:00,1.0,0.0,1.0
2018-01-20 10:30:00,1.0,0.0,1.0
2018-01-20 10:45:00,1.0,0.0,1.0
2018-01-20 11:00:00,1.0,0.0,1.0
2018-01-20 11:15:00,1.0,0.0,1.0
2018-01-20 11:30:00,1.0,0.0,1.0
2018-01-20 11:45:00,1.0,0.0,1.0
2018-01-20 12:00:00,1.0,0.0,1.0
2018-01-20 12:15:00,1.0,0.0,1.0
2018-01-20 12:30:00,1.0,0.0,1.0
2018-01-20 12:45:00,1.0,0.0,1.0
2018-01-20 13:00:00,1.0,0.0,1.0
2018-01-20 13:15:00,1.0,0.0,1.0
2018-01-20 13:30:00,1.0,0.0,1.0
2018-01-20 13:45:00,1.0,0.0,1.0
2018-01-20 14:00:00,1.0,0.0,1.0
2018-01-20 14:15:00,1.0,0.0,1.0
2018-01-20 14:30:00,1.0,0.0,1.0
2018-01-20 14:45:00,1.0,0.0,1.0
2018-01-20 15:00:00,1.0,0.0,1.0
2018-01-20 15:15:00,1.0,0.0,1.0
2018-01-20 15:30:00,1.0,0.0,1.0
2018-01-20 15:45:00,1.0,0.0,1.0
2018-01-20 16:00:00,1.0,0.0,1.0
2018-01-20 16:15:00,1.0,0.0,1.0
2018-01-20 16:30:00,1.0,0.0,1.0
2018-01-20 16:45:00,1.0,0.0,1.0
2018-01-20 17:00:00,1.0,0.0,1.0
2018-01-20 17:15:00,1.0,0.0,1.0
2018-01-20 17:30:00,1.0,0.0,1.0
2018-01-20 17:45:00,1.0,0.0,1.0
2018-01-20 18:00:00,1.0,0.0,1.0
2018-01-20 18:15:00,1.0,0.0,1.0
2018-01-20 18:30:00,1.0,0.0,1.0
2018-01-20 18:45:00,1.0,0.0,1.0
2018-01-20 19:00:00,1.0,0.0,1.0
2018-01-20 19:15:00,1.0,0.0,1.0
2018-01-20 19:30:00,1.0,0.0,1.0
2018-01-20 19:45:00,1.0,0.0,1.0
2018-01-20 20:00:00,1.0,0.0,1.0
2018-01-20 20:15:00,1.0,0.0,1.0
2018-01-20 20:30:00,1.0,0.0,1.0
2018-01-20 20:45:00,1.0,0.0,1.0
2018-01-20 21:00:00,1.0,0.0,1.0
2018-01-20 21:15:00,1.0,0.0,1.0
2018-01-20 21:30:00,1.0,0.0,1.0
2018-01-20 21:45:00,1.0,0.0,1.0
2018-01-20 22:00:00,1.0,0.0,1.0
2018-01-20 22:15:00,1.0,0.0,1.0
2018-01-20 22:30:00,1.0,0.0,1.0
2018-01-20 22:45:00,1.0,0.0,1.0
2018-01-20 23:00:00,1.0,0.0,1.0
2018-01-20 23:15:00,1.0,0.0,1.0
2018-01-20 23:30:00,1.0,0.0,1.0
2018-01-20 23:45:00,1.0,0.0,1.0
2019-04-23 00:00:00,1.0,0.0,1.0
2019-04-23 00:15:00,1.0,0.0,1.0
2019-04-23 00:30:00,1.0,0.0,1.0
2019-04-23 00:45:00,1.0,0.0,1.0
2019-04-23 01:00:00,1.0,0.0,1.0
2019-04-23 01:15:00,1.0,0.0,1.0
2019-04-23 01:30:00,1.0,0.0,1.0
2019-04-23 01:45:00,1.0,0.0,1.0
2019-04-23 02:00:00,1.0,0.0,1.0
2019-04-23 02:15:00,1.0,0.0,1.0
2019-04-23 02:30:00,1.0,0.0,1.0
2019-04-23 02:45:00,1.0,0.0,1.0
2019-04-23 03:00:00,1.0,0.0,1.0
2019-04-23 03:15:00,1.0,0.0,1.0
2019-04-23 03:30:00,1.0,0.0,1.0
2019-04-23 03:45:00,1.0,0.0,1.0
2019-04-23 04:00:00,1.0,0.0,1.0
2019-04-23 04:15:00,1.0,0.0,1.0
2019-04-23 04:30:00,1.0,0.0,1.0
2019-04-23 04:45:00,1.0,0.0,1.0
2019-04-23 05:00:00,1.0,0.0,1.0
2019-04-23 05:15:00,1.0,0.0,1.0
2019-04-23 05:30:00,1.0,0.0,1.0
2019-04-23 05:45:00,1.0,0.0,1.0
2019-04-23 06:00:00,1.0,0.0,1.0
2019-04-23 06:15:00,1.0,0.0,1.0
2019-04-23 06:30:00,1.0,0.0,1.0
2019-04-23 06:45:00,1.0,0.0,1.0
2019-04-23 07:00:00,1.0,0.0,1.0
2019-04-23 07:15:00,1.0,0.0,1.0
2019-04-23 07:30:00,1.0,0.0,1.0
2019-04-23 07:45:00,1.0,0.0,1.0
2019-04-23 08:00:00,1.0,0.0,1.0
2019-04-23 08:15:00,1.0,0.0,1.0
2019-04-23 08:30:00,1.0,0.0,1.0
2019-04-23 08:45:00,1.0,0.0,1.0
2019-04-23 09:00:00,1.0,0.0,1.0
2019-04-23 09:15:00,1.0,0.0,1.0
2019-04-23 09:30:00,1.0,0.0,1.0
2019-04-23 09:45:00,1.0,0.0,1.0
2019-04-23 10:00:00,1.0,0.0,1.0
2019-04-23 10:15:00,1.0,0.0,1.0
2019-04-23 10:30:00,1.0,0.0,1.0
2019-04-23 10:45:00,1.0,0.0,1.0
2019-04-23 11:00:00,1.0,0.0,1.0
2019-04-23 11:15:00,1.0,0.0,1.0
2019-04-23 11:30:00,1.0,0.0,1.0
2019-04-23 11:45:00,1.0,0.0,1.0
2019-04-23 12:00:00,1.0,0.0,1.0
2019-04-23 12:15:00,1.0,0.0,1.0
2019-04-23 12:30:00,1.0,0.0,1.0
2019-04-23 12:45:00,1.0,0.0,1.0
2019-04-23 13:00:00,1.0,0.0,1.0
2019-04-23 13:15:00,1.0,0.0,1.0
2019-04-23 13:30:00,1.0,0.0,1.0
2019-04-23 13:45:00,1.0,0.0,1.0
2019-04-23 14:00:00,1.0,0.0,1.0
2019-04-23 14:15:00,1.0,0.0,1.0
2019-04-23 14:30:00,1.0,0.0,1.0
2019-04-23 14:45:00,1.0,0.0,1.0
2019-04-23 15:00:00,1.0,0.0,1.0
2019-04-23 15:15:00,1.0,0.0,1.0
2019-04-23 15:30:00,1.0,0.0,1.0
2019-04-23 15:45:00,1.0,0.0,1.0
2019-04-23 16:00:00,1.0,0.0,1.0
2019-04-23 16:15:00,1.0,0.0,1.0
2019-04-23 16:30:00,1.0,0.0,1.0
2019-04-23 16:45:00,1.0,0.0,1.0
2019-04-23 17:00:00,1.0,0.0,1.0
2019-04-23 17:15:00,1.0,0.0,1.0
2019-04-23 17:30:00,1.0,0.0,1.0
2019-04-23 17:45:00,1.0,0.0,1.0
2019-04-23 18:00:00,1.0,0.0,1.0
2019-04-23 18:15:00,1.0,0.0,1.0
2019-04-23 18:30:00,1.0,0.0,1.0
2019-04-23 18:45:00,1.0,0.0,1.0
2019-04-23 19:00:00,1.0,0.0,1.0
2019-04-23 19:15:00,1.0,0.0,1.0
2019-04-23 19:30:00,1.0,0.0,1.0
2019-04-23 19:45:00,1.0,0.0,1.0
2019-04-23 20:00:00,1.0,0.0,1.0
2019-04-23 20:15:00,1.0,0.0,1.0
2019-04-23 20:30:00,1.0,0.0,1.0
2019-04-23 20:45:00,1.0,0.0,1.0
2019-04-23 21:00:00,1.0,0.0,1.0
2019-04-23 21:15:00,1.0,0.0,1.0
2019-04-23 21:30:00,1.0,0.0,1.0
2019-04-23 21:45:00,1.0,0.0,1.0
2019-04-23 22:00:00,1.0,0.0,1.0
2019-04-23 22:15:00,1.0,0.0,1.0
2019-04-23 22:30:00,1.0,0.0,1.0
2019-04-23 22:45:00,1.0,0.0,1.0
2019-04-23 23:00:00,1.0,0.0,1.0
2019-04-23 23:15:00,1.0,0.0,1.0
2019-04-23 23:30:00,1.0,0.0,1.0
2019-04-23 23:45:00,1.0,0.0,1.0
2019-07-30 00:00:00,1.0,0.0,1.0
2019-07-30 00:15:00,1.0,0.0,1.0
2019-07-30 00:30:00,1.0,0.0,1.0
2019-07-30 00:45:00,1.0,0.0,1.0
2019-07-30 01:00:00,1.0,0.0,1.0
2019-07-30 01:15:00,1.0,0.0,1.0
2019-07-30 01:30:00,1.0,0.0,1.0
2019-07-30 01:45:00,1.0,0.0,1.0
2019-07-30 02:00:00,1.0,0.0,1.0
2019-07-30 02:15:00,1.0,0.0,1.0
2019-07-30 02:30:00,1.0,0.0,1.0
2019-07-30 02:45:00,1.0,0.0,1.0
2019-07-30 03:00:00,1.0,0.0,1.0
2019-07-30 03:15:00,1.0,0.0,1.0
2019-07-30 03:30:00,1.0,0.0,1.0
2019-07-30 03:45:00,1.0,0.0,1.0
2019-07-30 04:00:00,1.0,0.0,1.0
2019-07-30 04:15:00,1.0,0.0,1.0
2019-07-30 04:30:00,1.0,0.0,1.0
2019-07-30 04:45:00,1.0,0.0,1.0
2019-07-30 05:00:00,1.0,0.0,1.0
2019-07-30 05:15:00,1.0,0.0,1.0
2019-07-30 05:30:00,1.0,0.0,1.0
2019-07-30 05:45:00,1.0,0.0,1.0
2019-07-30 06:00:00,1.0,0.0,1.0
2019-07-30 06:15:00,1.0,0.0,1.0
2019-07-30 06:30:00,1.0,0.0,1.0
2019-07-30 06:45:00,1.0,0.0,1.0
2019-07-30 07:00:00,1.0,0.0,1.0
2019-07-30 07:15:00,1.0,0.0,1.0
2019-07-30 07:30:00,1.0,0.0,1.0
2019-07-30 07:45:00,1.0,0.0,1.0
2019-07-30 08:00:00,1.0,0.0,1.0
2019-07-30 08:15:00,1.0,0.0,1.0
2019-07-30 08:30:00,1.0,0.0,1.0
2019-07-30 08:45:00,1.0,0.0,1.0
2019-07-30 09:00:00,1.0,0.0,1.0
2019-07-30 09:15:00,1.0,0.0,1.0
2019-07-30 09:30:00,1.0,0.0,1.0
2019-07-30 09:45:00,1.0,0.0,1.0
2019-07-30 10:00:00,1.0,0.0,1.0
2019-07-30 10:15:00,1.0,0.0,1.0
2019-07-30 10:30:00,1.0,0.0,1.0
2019-07-30 10:45:00,1.0,0.0,1.0
2019-07-30 11:00:00,1.0,0.0,1.0
2019-07-30 11:15:00,1.0,0.0,1.0
2019-07-30 11:30:00,1.0,0.0,1.0
2019-07-30 11:45:00,1.0,0.0,1.0
2019-07-30 12:00:00,1.0,0.0,1.0
2019-07-30 12:15:00,1.0,0.0,1.0
2019-07-30 12:30:00,1.0,0.0,1.0
2019-07-30 12:45:00,1.0,0.0,1.0
2019-07-30 13:00:00,1.0,0.0,1.0
2019-07-30 13:15:00,1.0,0.0,1.0
2019-07-30 13:30:00,1.0,0.0,1.0
2019-07-30 13:45:00,1.0,0.0,1.0
2019-07-30 14:00:00,1.0,0.0,1.0
2019-07-30 14:15:00,1.0,0.0,1.0
2019-07-30 14:30:00,1.0,0.0,1.0
2019-07-30 14:45:00,1.0,0.0,1.0
2019-07-30 15:00:00,1.0,0.0,1.0
2019-07-30 15:15:00,1.0,0.0,1.0
2019-07-30 15:30:00,1.0,0.0,1.0
2019-07-30 15:45:00,1.0,0.0,1.0
2019-07-30 16:00:00,1.0,0.0,1.0
2019-07-30 16:15:00,1.0,0.0,1.0
2019-07-30 16:30:00,1.0,0.0,1.0
2019-07-30 16:45:00,1.0,0.0,1.0
2019-07-30 17:00:00,1.0,0.0,1.0
2019-07-30 17:15:00,1.0,0.0,1.0
2019-07-30 17:30:00,1.0,0.0,1.0
2019-07-30 17:45:00,1.0,0.0,1.0
2019-07-30 18:00:00,1.0,0.0,1.0
2019-07-30 18:15:00,1.0,0.0,1.0
2019-07-30 18:30:00,1.0,0.0,1.0
2019-07-30 18:45:00,1.0,0.0,1.0
2019-07-30 19:00:00,1.0,0.0,1.0
2019-07-30 19:15:00,1.0,0.0,1.0
2019-07-30 19:30:00,1.0,0.0,1.0
2019-07-30 19:45:00,1.0,0.0,1.0
2019-07-30 20:00:00,1.0,0.0,1.0
2019-07-30 20:15:00,1.0,0.0,1.0
2019-07-30 20:30:00,1.0,0.0,1.0
2019-07-30 20:45:00,1.0,0.0,1.0
2019-07-30 21:00:00,1.0,0.0,1.0
2019-07-30 21:15:00,1.0,0.0,1.0
2019-07-30 21:30:00,1.0,0.0,1.0
2019-07-30 21:45:00,1.0,0.0,1.0
2019-07-30 22:00:00,1.0,0.0,1.0
2019-07-30 22:15:00,1.0,0.0,1.0
2019-07-30 22:30:00,1.0,0.0,1.0
2019-07-30 22:45:00,1.0,0.0,1.0
2019-07-30 23:00:00,1.0,0.0,1.0
2019-07-30 23:15:00,1.0,0.0,1.0
2019-07-30 23:30:00,1.0,0.0,1.0
2019-07-30 23:45:00,1.0,0.0,1.0
2019-11-24 00:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 00:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 00:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 00:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 01:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 01:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 01:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 01:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 02:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 02:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 02:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 02:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 03:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 03:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 03:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 03:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 04:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 04:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 04:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 04:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 05:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 05:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 05:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 05:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 06:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 06:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 06:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 06:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 07:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 07:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 07:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 07:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 08:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 08:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 08:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 08:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 09:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 09:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 09:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 09:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 10:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 10:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 10:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 10:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 11:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 11:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 11:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 11:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 12:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 12:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 12:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 12:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 13:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 13:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 13:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 13:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 14:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 14:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 14:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 14:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 15:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 15:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 15:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 15:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 16:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 16:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 16:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 16:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 17:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 17:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 17:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 17:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 18:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 18:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 18:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 18:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 19:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 19:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 19:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 19:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 20:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 20:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 20:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 20:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 21:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 21:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 21:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 21:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 22:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 22:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 22:30:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 22:45:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 23:00:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 23:15:00,0.9869875187406297,-0.013012481259370268,1.0
2019-11-24 23:30:00,0.9756973137633237,-0.024302686236676307,1.0
2019-11-24 23:45:00,0.9756973137633237,-0.024302686236676307,1.0
2019-12-23 00:00:00,0.9756973137633237,-0.024302686236676307,1.0
2019-12-23 00:15:00,0.9756973137633237,-0.024302686236676307,1.0
2019-12-23 00:30:00,0.9756973137633237,-0.024302686236676307,1.0
2019-12-23 00:45:00,0.9756973137633237,-0.024302686236676307,1.0
2019-12-23 01:00:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 01:15:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 01:30:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 01:45:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 02:00:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 02:15:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 02:30:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 02:45:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 03:00:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 03:15:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 03:30:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 03:45:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 04:00:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 04:15:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 04:30:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 04:45:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 05:00:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 05:15:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 05:30:00,0.9838498891978325,-0.01615011080216755,1.0
2019-12-23 05:45:00,0.9838498891978325,-0.01615011080216755,1.0
